P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data     19/12/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Br,Rb,Sr,Y,Zr,Pd,Sn,Ba,Ta,Pb,Mo inc,Mo coh,Tube,Location
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000047.spe,103.64,6.43,1,0.018657,-0.005509,0.008729,0.098113,33236.04297,1.19,9,26,13,10,0,20,1557,0,407,249,272,0,548,109,369,450,4,91,35,120,0,15,0,0,13,0,5,222,0,38000,32887,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000048.spe,104.64,6.42,1,0.018657,-0.005509,0.008729,0.098113,33006.45313,1.1,26,12,40,21,0,9,1591,6,361,189,363,0,290,177,387,387,21,80,69,9,0,12,0,92,29,0,42,281,83,38771,34198,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000049.spe,105.64,6.41,1,0.018657,-0.005509,0.008729,0.098113,34601.97656,1.22,54,17,22,5,17,0,1356,0,450,290,359,0,357,123,320,423,0,0,8,0,0,170,0,163,30,0,42,141,12,43027,38272,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000050.spe,106.64,6.33,1,0.018657,-0.005509,0.008729,0.098113,35413.83984,1.44,16,33,17,35,9,12,1337,0,397,291,320,0,361,309,332,408,0,41,67,0,13,69,0,69,14,0,0,350,0,44327,39734,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000051.spe,107.64,6.35,1,0.018657,-0.005509,0.008729,0.098113,34664.38672,1.15,10,0,45,11,0,15,1462,11,501,273,373,132,469,0,284,375,0,155,48,66,7,32,61,24,51,0,40,410,0,43238,38776,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000052.spe,108.64,6.38,1,0.018657,-0.005509,0.008729,0.098113,33077.95313,1.09,25,5,75,14,10,5,1501,14,716,426,324,50,943,186,389,473,61,0,50,64,50,0,50,169,21,0,31,176,0,38435,34164,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000053.spe,109.64,6.4,1,0.018657,-0.005509,0.008729,0.098113,32420.97852,1.16,28,19,425,13,15,57,1700,0,998,492,314,41,939,182,377,499,0,0,119,0,0,0,66,255,31,0,15,160,15,37655,33003,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000054.spe,110.64,6.4,1,0.018657,-0.005509,0.008729,0.098113,32345.72852,1.2,0,43,412,8,10,31,1751,4,1237,363,317,0,997,104,362,386,47,0,141,0,0,0,52,177,22,11,40,128,0,38723,35384,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000055.spe,111.64,6.45,1,0.018657,-0.005509,0.008729,0.098113,32509.47461,1.21,26,35,515,0,0,47,2074,0,1060,233,320,0,543,229,337,247,0,0,16,64,27,33,27,87,0,0,15,427,0,39425,33951,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000056.spe,112.64,6.38,1,0.018657,-0.005509,0.008729,0.098113,32002.51563,1.13,35,11,203,0,0,37,2119,0,561,183,291,0,263,89,398,353,28,173,154,0,0,72,0,64,41,0,57,143,0,36259,30386,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000057.spe,113.64,6.33,1,0.018657,-0.005509,0.008729,0.098113,30974.45117,1.11,0,18,71,5,0,25,1892,20,446,170,189,0,143,67,350,349,0,0,202,0,0,70,87,122,66,0,10,363,0,31345,26725,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000058.spe,114.64,6.22,1,0.018657,-0.005509,0.008729,0.098113,31519.7207,1.07,17,37,67,0,22,40,1803,21,528,288,228,61,81,0,347,309,0,38,0,0,82,117,75,75,46,6,0,198,58,31425,26921,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000059.spe,115.64,6.21,1,0.018657,-0.005509,0.008729,0.098113,33202.57031,1.17,12,25,111,0,11,27,1632,0,622,244,304,116,180,199,377,370,59,0,0,0,0,0,7,129,27,14,0,334,47,36858,31312,Cr,1
